漢字	雲陽話	訪仙話	河陽話	埤城話
脈	məʔ12	məʔ31	məʔ24	mɔʔ44
摘	ʦəʔ44		ʦəʔ31	ʦəʔ44
責	ʦəʔ44	ʦəʔ31	ʦəʔ33	ʦəʔ44
策	ʦʰəʔ44	ʦʰəʔ44	ʦʰəʔ33	ʦʰəʔ44
冊	ʦʰəʔ44	ʦʰəʔ44	ʦʰəʔ33	ʦʰəʔ44
柵(柵欄)	sæ22	sᴀ55		sæ41
革	kəʔ44	kəʔ44	kəʔ33	kəʔ44
隔	kəʔ44	kəʔ44	kəʔ33	kəʔ44
核(審核)	xəʔ12	xəʔ31	xəʔ24	xəʔ44
核(果子核)	vəʔ44	uəʔ31	vəʔ33	vəʔ44
兵	piŋ33	piɪŋ55	piŋ33	piŋ51
平	pʰiŋ25	piɪŋ31	piŋ31	piŋ25
坪	piŋ25	piɪŋ31	pʰiŋ24	pʰiŋ25
評	pʰiŋ31	piɪŋ31	pʰiŋ33	pʰiŋ25
鳴	miŋ31	miɪŋ55	miŋ24	miŋ25
明	miŋ31	miɪŋ55	miŋ24	miŋ25
盟	mɔŋ33	mɘŋ55	mɔŋ24	moŋ25
京	ʨiŋ33	ʨiɪŋ55	ʨiŋ33	ʨiŋ51
荊	ʨiŋ33	ʨiɪŋ55	ʨiŋ33	ʨiŋ51
驚	ʨiŋ33	ʨiɪŋ55	ʨiŋ33	ʨiŋ51
卿	ʨʰiŋ33	ʨʰiɪŋ55	ʨʰiŋ33	ʨʰiŋ25
擎	ʨʰiŋ25	ʨʰiɪŋ55	ʨʰiŋ24	ʨʰiŋ25
鯨	ʨiŋ33	ʨiɪŋ55	ʨiŋ33	ʨiŋ51
迎	iŋ33	iɪŋ31	iŋ24	iŋ25
英	iŋ33	iɪŋ55	iŋ33	iŋ51
丙	piŋ55	piɪŋ55	piŋ55	piŋ25
秉	piŋ55	piɪŋ55	piŋ24	piŋ25
皿		miɪŋ55	miŋ24	miŋ25
境	ʨiŋ55	ʨiɪŋ434	ʨiŋ31	ʨiŋ51
景	ʨiŋ55	ʨiɪŋ434	ʨiŋ31	ʨiŋ33
警	ʨiŋ55	ʨiɪŋ434	ʨiŋ55	ʨiŋ25
影	iŋ55	iɪŋ55	iŋ31	iŋ25
柄	piŋ424	piɪŋ434	piŋ24	piŋ25
病	piŋ31	piɪŋ325	piŋ31	piŋ41
命	miŋ424	miɪŋ325	miŋ31	miŋ41
敬	ʨiŋ424	ʨiɪŋ434	ʨiŋ31	ʨiŋ41
竟	ʨiŋ424	ʨiɪŋ434	ʨiŋ31	ʨiŋ41
鏡	ʨiŋ424	ʨiɪŋ434	ʨiŋ31	ʨiŋ41
慶	ʨʰiŋ424	ʨʰiɪŋ434	ʨʰiŋ31	ʨʰiŋ41
競	ʨiŋ31	ʨiɪŋ434	ʨiŋ31	ʨiŋ41
映	iŋ424	iɪŋ434	iŋ31	iŋ41
碧	piɛʔ44	piɛʔ44	piɛʔ33	piʔ44
劇(劇烈)	ʨʮ31	ʦʮ41		ʨʮ31
劇(戲劇)	ʨʮ31	ʨiɛʔ31	ʨʮ51	ʨʮ31
逆(順逆,逆風)	ȵiɛʔ31	ȵiɛʔ31	ȵiɛʔ33	ȵiʔ44
名	miŋ31	miɪŋ325	miŋ24	miŋ51
精	ʨiŋ33	ʨiɪŋ55	ʨiŋ33	ʨiŋ51
晶	ʨiŋ33	ʨiɪŋ55	ʨiŋ33	ʨiŋ51
睛(眼睛)	ʨiŋ33	ʨiɪŋ55	ʨiŋ33	ʨiŋ51
清	ʨʰiŋ33	ʨʰiɪŋ55	ʨʰiŋ33	ʨʰiŋ51
情	ʨʰiŋ25	ɕiɪŋ325	ʨʰiŋ31	ʨʰiŋ25
晴	ʨiŋ25	ɕiɪŋ31	ʨʰiŋ24	ʨʰiŋ25
貞	ʦeŋ33	ʦɘŋ55	ʦəŋ33	ʦəŋ33
偵	ʦeŋ33	ʦɘŋ55	ʦəŋ33	ʦəŋ33
呈	ʦʰeŋ25	tsɘŋ31	ʦʰəŋ24	ʦʰəŋ25
程	ʦʰeŋ31	ʦɘŋ31	ʦʰəŋ24	ʦʰəŋ25
正(正月)	ʦeŋ33	ʦɘŋ55	ʦəŋ33	ʦəŋ51
征	ʦeŋ33	ʦɘŋ55	ʦəŋ33	ʦəŋ51
聲	seŋ33	sɘŋ55	səŋ33	səŋ51
成	ʦʰeŋ33	ʦɘŋ31	ʦʰəŋ33	ʦʰəŋ25
城	ʦʰeŋ25	ʦɘŋ31	ʦʰəŋ33	ʦʰəŋ25
誠	ʦʰeŋ31	ʦɘŋ31	ʦʰəŋ33	ʦʰəŋ25
盛(盛滿了)	seŋ33	sɘŋ31	səŋ33	səŋ25
輕(輕重,年輕)	ʨʰiŋ33	ʨʰiɪŋ55	ʨʰiŋ33	ʨʰiŋ51
嬰	iŋ33	iɪŋ55	iŋ33	iŋ51
纓	iŋ33	iɪŋ55	iŋ33	iŋ51
盈	iŋ25	iɪŋ31	iŋ31	iŋ51
贏	iŋ25	yɲ31	iŋ31	iŋ25
餅	piŋ55	piɪŋ41	piŋ31	piŋ33
領	liŋ25	liɪŋ325	liŋ24	liŋ25
嶺	liŋ55	liɪŋ31	liŋ24	liŋ25
井	ʨiŋ55	ʨiɪŋ41	ʨiŋ55	ʨiŋ33
請	ʨʰiŋ55	ʨʰiɪŋ41	ʨʰiŋ55	ʨʰiŋ25
靜	ʨiŋ31	ɕiɪŋ325	ʨiŋ31	ʨiŋ51
靖	ʨiŋ31	ɕiɪŋ325	ʨiŋ31	ʨiŋ51
省(反省)	ɕiŋ25	ɕiɪŋ41	ɕiŋ24	ɕiŋ33
逞(逞能)	ʦʰeŋ55	ʦʰɘŋ434	ʦʰəŋ31	ʦʰəŋ51
整	ʦeŋ31	ʦɘŋ434	ʦəŋ31	ʦəŋ25
頸	ʨiŋ31	ʨiɪŋ434	ʨiŋ55	ʨiŋ33
並(合併)	piŋ424	piɪŋ434	piŋ24	piŋ41
聘	pʰiŋ424	pʰiɪŋ41	pʰiŋ31	pʰiŋ25
令	liŋ25	liɪŋ434	liŋ31	liŋ41
淨	ʨiŋ31	ɕiɪŋ325	ɕiŋ55	ʨiŋ41
性	ɕiŋ31	ɕiɪŋ434	ɕiŋ31	ɕiŋ41
姓	ɕiŋ31	ɕiɪŋ434	ɕiŋ31	ɕiŋ41
鄭	ʦeŋ31	ʦɘŋ31	ʦəŋ31	ʦəŋ41
正	ʦeŋ424	ʦɘŋ434	ʦəŋ31	ʦəŋ41
政	ʦeŋ424	ʦɘŋ434	ʦəŋ31	ʦəŋ25
聖	seŋ31	sɘŋ434	səŋ31	səŋ25
盛(興盛)	seŋ55	sɘŋ434	səŋ31	səŋ25
勁(勁敵)	ʨiŋ31	ʨiɪŋ434	ʨɪŋ31	ʨiŋ25
璧		piɛʔ44	piɛʔ33	piʔ44
僻	pʰiəʔ44	pʰiɛʔ44	pʰiɛʔ33	pʰiʔ44
辟	pʰiəʔ44	pʰiɛʔ44	piɛʔ33	pʰiʔ44
積	ʨiəʔ44	ʨiɛʔ44	ʨiɛʔ33	ʨiʔ44
跡	ʨiəʔ31	ʨiɛʔ44	ʨiɛʔ33	ʨiʔ44
脊	ʨiəʔ31	ʨiɛʔ44	ʨiɛʔ33	ʨiʔ44
籍	ʨiəʔ44	ʨiɛʔ31	ʨiɛʔ33	ʨiʔ44
藉(狼藉)	ʨiəʔ44	ʨiɛʔ31		ʨiʔ44
惜	ɕiəʔ44	ɕiɛʔ44	ɕiɛʔ33	ɕiʔ44
昔	ɕiəʔ44	ɕiɛʔ44	ɕiɛʔ33	ɕiʔ44
席	ɕiəʔ12	ɕiɛʔ31	ɕiɛʔ33	ɕiʔ44
夕	ɕiəʔ44	ɕiɛʔ44	ɕiɛʔ33	ɕiʔ44
隻？	ʦəʔ44	ʦɿ55	ʦɿ33	ʦəʔ44
炙		ʦɿ55	ʨiəu33	ʦɿ31
赤	ʦʰəʔ44	ʦʰəʔ44	ʦʰəʔ33	ʦʰəʔ44
斥	ʦʰɿ22	ʦʰəʔ44	ʦʰəʔ33	ʦʰəʔ44
尺	ʦʰəʔ12	ʦʰəʔ44	ʦʰəʔ33	ʦʰəʔ44
射	sɑʔ31	sᴀ434	sɑʔ31	su31
適	səʔ44	səʔ44	səʔ33	səʔ44
釋	səʔ44	səʔ44	səʔ33	səʔ44
石	səʔ44	səʔ31	səʔ31	səʔ44
益	iəʔ31	iɛʔ31	iɛʔ33	iʔ44
譯	iəʔ44	iɛʔ31	iɛʔ33	iʔ44
易(交易)	ɿ22	ɿ31	ɿ31	ɿ31
液	iəʔ12	iɛʔ31	iɛʔ33	iʔ44
姘(姘頭）	pʰiŋ33	pʰiɪŋ55	pʰiŋ33	pʰiŋ51
[拼]	pʰiŋ33	pʰiɪŋ55	pʰiŋ33	pʰiŋ51
瓶	piŋ25	piɪŋ31	piŋ24	piŋ25
屏（圍屏）	piŋ25	piɪŋ31	pʰiŋ24	piŋ25
萍	pʰiŋ25	piɪŋ31	pʰiŋ24	pʰiŋ25
銘	miŋ31	miɪŋ55	miŋ24	miŋ25
丁	tiŋ33	tiɪŋ55	tiŋ33	tiŋ51
釘（鐵釘）	tiŋ33	tiɪŋ55	tiŋ33	tiŋ51
靪（靪鞵）	tiŋ33	tiɪŋ55	tiŋ33	tiŋ51
疔（疔瘡）		tiɪŋ55	tiŋ33	tiŋ51
聽（聽見,聽話）	tʰiŋ33	tʰiɪŋ55	tʰiŋ33	tʰiŋ25
廳	tʰiŋ33	tʰiɪŋ55	tʰiŋ33	tʰiŋ51
亭	tiŋ31	tiɪŋ31	tiŋ31	tʰiŋ25
停	tiŋ31	tiɪŋ31	tiŋ31	tʰiŋ25
廷	tʰiŋ25	tiɪŋ31	tʰiŋ31	tʰiŋ25
庭	tʰiŋ25	tiɪŋ31	tʰiŋ31	tʰiŋ25
蜓	tʰiŋ33	tiɪŋ31	tʰiŋ31	tʰiŋ25
寧（安寧）	ȵiŋ25	ȵiɪŋ55	ȵiŋ24	ȵiŋ25
靈	liŋ25	liɪŋ55	liŋ31	liŋ25
零	liŋ25	liɪŋ55	liŋ24	liŋ25
鈴	liŋ33	liɪŋ55	liŋ31	liŋ25
拎	liŋ31	liɪŋ55	liŋ33	liŋ51
翎（雁翎，翎毛）	liŋ25	liɪŋ55	liŋ24	liŋ25
青	ʨʰiŋ33	ʨʰiɪŋ55	ʨʰiŋ33	ʨʰiŋ51
蜻（蜻蜓）	ʨʰiŋ33	ʨʰiɪŋ55	ʨʰiŋ33	ʨʰiŋ51
星	ɕiŋ33	ɕiɪŋ55	ɕiŋ33	ɕiŋ51
腥	ɕiŋ33	ɕiɪŋ55	ɕiŋ33	ɕiŋ51
經	ʨiŋ33	ʨiɪŋ55	ʨiŋ33	ʨiŋ51
馨	ɕiŋ33	ɕiɪŋ55	ɕiŋ33	
形	ɕiŋ31	ɕiɪŋ31	ɕiŋ31	ɕiŋ25
型	ɕiŋ25	ɕiɪŋ31	ɕiŋ24	ɕiŋ25
刑	ɕiŋ25	ɕiɪŋ31	ɕiŋ31	ɕiŋ25
並（並且，並行）	piŋ31	piɪŋ31	piŋ31	piŋ25
頂	tiŋ55	tiɪŋ41	tiŋ55	tiŋ33
鼎	tiŋ55	tiɪŋ55	tiŋ24	tiŋ33
艇	tʰiŋ25	tʰiɪŋ41	tʰiŋ31	tʰiŋ25
挺	tʰiŋ55	tʰiɪŋ41	tʰiŋ55	tʰiŋ25
錠(鋌)	tiŋ31	tiɪŋ325	tiŋ31	tiŋ51
醒	ɕiŋ55	ɕiɪŋ41	ɕiŋ31	ɕiŋ33
盯（盯住）	tiŋ424	tiɪŋ55	tiŋ55	tiŋ41
訂（訂約）	tiŋ424	tiɪŋ434	tiŋ55	tiŋ41
聽（聽其自然）	tʰiŋ33	tʰiɪŋ434	tʰiŋ55	tʰiŋ33
定	tiŋ31	tiɪŋ325	tiŋ31	tiŋ41
寧（寧可）	ȵiŋ25	ȵiɪŋ434	ȵiŋ31	ȵiŋ25
另	liŋ31	liɪŋ31	liŋ31	liŋ41
徑		ʨiɪŋ55	ʨiŋ31	ʨiŋ41
經（經緯,經線）	ʨiŋ33	ʨiɪŋ55	ʨiŋ55	ʨiŋ41
壁	piəʔ44	piɛʔ44	piɛʔ33	piʔ44
劈	pʰiəʔ44	pʰiɛʔ44	pʰiɛʔ33	pʰiʔ44
覓		miɛʔ31	miɛʔ33	miʔ44
的（目的）	tiəʔ44	tiɛʔ44	tiɛʔ33	tiʔ44
滴	tiəʔ44	tiɛʔ44	tiɛʔ33	tiʔ44
嫡	tiəʔ44	tiɛʔ44	tiɛʔ33	tiʔ44
踢	tʰiəʔ44	tʰiɛʔ44	tʰiɛʔ33	tʰiʔ44
剔（剔牙，剔除）	tʰiəʔ44	tʰɿ434		tʰiʔ44
笛	tiəʔ31	tiɛʔ31	tiɛʔ31	tiʔ44
敵	tiəʔ31	tiɛʔ31	tiɛʔ31	tiʔ44
狄	tiəʔ31	tiɛʔ31	tiɛʔ31	tiʔ44
溺	ȵiəʔ31	ȵiᴀʔ31		ȵiʔ44
歷（經歷，歷史）	liəʔ31	liɛʔ31	liɛʔ31	liʔ44
曆（曆法，日曆）	liəʔ31	liɛʔ31	liɛʔ31	liʔ44
績	ʨiəʔ44	ʨiɛʔ44	ʨiɛʔ33	ʨiʔ44
戚	ʨʰiəʔ44	ʨʰiɛʔ44		ʨʰiʔ44
寂	ʨiəʔ44	ʨɿ41	ʨiɛʔ33	ʨiʔ44
錫	ɕiəʔ44	ɕiɛʔ44	ɕiɛʔ33	ɕiʔ44
析	ɕiəʔ44	ɕiɛʔ44	ɕiɛʔ33	ɕiʔ44
擊	ʨiəʔ44	ʨiɛʔ44	ʨiɛʔ33	ʨiʔ44
激	ʨiəʔ44	ʨiɛʔ44	ʨiɛʔ33	ʨiʔ44
喫	ʨʰiəʔ44	ʨʰiɛʔ44	ʨʰiɛʔ33	ʨʰiʔ44
橫（橫直）	veŋ25	uɘŋ31	vəŋ24	vəŋ25
礦	kʰuɑŋ31	kʰuɑŋ434	kʰuɑŋ31	kʰuɑŋ25
橫（蠻橫）	xeŋ25	xɘŋ325	vəŋ24	vəŋ25
轟（亂轟轟，轟炸）	xɔŋ33	xoŋ55	xɔŋ33	xoŋ51
揈（轟出去）	xɔŋ33	xoŋ55	xɔŋ33	xoŋ51
宏	ɔŋ25	xoŋ31	xɔŋ24	xoŋ25
轟	xɔŋ31	xoŋ55	xɔŋ31	xoŋ41
獲	xuəʔ44	xuəʔ44	xuəʔ33	xuəʔ44
劃	xuɑʔ12	uᴀʔ31	vuɑ24、xu31	xuᴀ31
兄	ɕiɔŋ33	ɕyŋ55	ɕiɔŋ33	soŋ51
榮	iɔŋ33	yŋ55	iɔŋ24	yŋ25
永	iɔŋ25	yŋ434	iɔŋ24	yəŋ25
泳	iɔŋ25	yŋ55	iɔŋ55	yəŋ25
詠	iɔŋ25	yŋ55	iɔŋ24	yəŋ25
傾	ʨʰiŋ33	ʨʰiɪŋ434	ʨʰiŋ33	ʨʰiŋ51
瓊	ʨʰiɔŋ25	ʨyŋ31	ʨʰiɔŋ24	ʦʰoŋ25
營	iŋ25	iɪŋ31	iŋ24	iŋ25
頃	ʨʰiŋ25	ʨʰiɪŋ434	ʨʰiŋ55	ʨʰiŋ33
疫	yɔʔ44	iɛʔ31	iɛʔ33	yəʔ44
役	yɔʔ12	iɛʔ31	iɛʔ31	yəʔ44
螢	iŋ25	iɪŋ31	iŋ24	iŋ51
篷（帳篷，斗篷）	pɔŋ31	poŋ31	pɔŋ24	poŋ25
蓬（蓬亂，蓬鬆）	pʰɔŋ33	poŋ31	pɔŋ24	pʰoŋ25
蒙	mɔŋ33	moŋ31	mɔŋ33	moŋ25
東	tɔŋ33	toŋ55	tɔŋ33	toŋ51
通	tʰɔŋ33	tʰoŋ55	tʰɔŋ33	tʰoŋ51
同	tʰɔŋ25	toŋ31	tʰɔŋ24	toŋ25
銅	tɔŋ25	toŋ31	tɔŋ24	toŋ25
桐	tɔŋ25	toŋ31	tʰɔŋ33	toŋ25
筒	tʰɔŋ33	toŋ31	tʰɔŋ33	tʰoŋ25
童	tʰɔŋ33	toŋ31	tʰɔŋ33	tʰoŋ25
瞳	tʰɔŋ33	toŋ31	tɔŋ24	toŋ25
籠	lɔŋ31	loŋ55	lɔŋ33	loŋ25
聾l	ɔŋ31	loŋ55	lɔŋ31	loŋ51
棕	ʦɔŋ33	ʦoŋ55	ʦɔŋ33	ʦoŋ41
鬃（馬鬃）	ʦɔŋ33	ʦoŋ55	ʦɔŋ33	ʦoŋ51
聰	ʦʰɔŋ33	ʦʰoŋ55	ʦʰɔŋ33	ʦʰoŋ25
匆	ʦʰɔŋ33	ʦʰoŋ55	ʦʰɔŋ33	ʦʰoŋ51
蔥	ʦʰɔŋ33	ʦʰoŋ55	ʦʰɔŋ33	ʦʰoŋ51
囪（煙囪）	ʦʰɔŋ33	ʦʰoŋ55	ʦʰɔŋ33	
叢	ʦʰɔŋ25	ʦoŋ31	ʦɔŋ24	ʦʰoŋ25
公	kɔŋ33	koŋ55	kɔŋ33	koŋ51
蚣（蜈蚣）	kɔŋ33	koŋ55	kɔŋ33	koŋ51
工	kɔŋ33	koŋ55	kɔŋ33	koŋ51
功	kɔŋ33	koŋ55	kɔŋ33	koŋ51
攻（攻擊）	kɔŋ33	koŋ41	kɔŋ33	koŋ51
空（空虛）	kʰɔŋ33	kʰoŋ55	kʰɔŋ33	kʰoŋ51
烘（烘乾）	xɔŋ33	xoŋ55	xɔŋ33	xoŋ51
紅	ɔŋ25	xoŋ31	ɔŋ24	oŋ25
洪	ɔŋ25	xoŋ31	ɔŋ31	xoŋ25
鴻	ɔŋ25	xoŋ31	xɔŋ31	xoŋ25
虹	ɔŋ25	xoŋ31	xɔŋ24	xoŋ25
翁	vəŋ33	oŋ55	ɔŋ33	oŋ51
懵（懵懂）	mɔŋ55	moŋ55	mɔŋ33	moŋ51
蠓（蠓蟲）	mɔŋ55	moŋ55	mɔŋ33	moŋ51
董	tɔŋ25	toŋ434	tɔŋ24	toŋ25
懂	tɔŋ55	toŋ41	tɔŋ55	toŋ33
桶	tʰɔŋ55	tʰoŋ41	tʰɔŋ24	tʰoŋ51
捅（捅破了）	tʰɔŋ55	tʰoŋ41	tʰɔŋ55	tʰoŋ51
動	tɔŋ25	toŋ325	tɔŋ24	toŋ25
攏	lɔŋ55	loŋ325	lɔŋ24	loŋ25
總	ʦɔŋ55	ʦoŋ41	ʦɔŋ24	ʦoŋ33
孔	kʰɔŋ55	kʰoŋ434	kʰɔŋ55	kʰoŋ25
哄（哄騙）	xɔŋ55	xoŋ41	xɔŋ55	xoŋ33
汞	koŋ55	koŋ434	kɔŋ55	koŋ51
凍	tɔŋ424	toŋ434	tɔŋ31	toŋ25
棟	tɔŋ424	toŋ434	tɔŋ31	toŋ25
痛	tʰɔŋ424	tʰoŋ434	tʰɔŋ31	tʰoŋ25
洞	tɔŋ31	toŋ325	tɔŋ31	toŋ41
齈（多涕鼻疾）	ȵiɔŋ31	ȵyŋ434	ȵyŋ31	ȵyŋ41
弄	lɔŋ31	noŋ434	nɔŋ31	noŋ41
粽	ʦɔŋ33	ʦoŋ434	ʦɔŋ55	ʦoŋ41
送	sɔŋ424	soŋ434	sɔŋ24	soŋ41
貢	kɔŋ424	koŋ434	kɔŋ31	koŋ41
控	kʰɔŋ424	kʰoŋ434	kʰɔŋ31	kʰoŋ41
空（空缺）	kʰɔŋ424	kʰoŋ434	kʰɔŋ31	kʰoŋ41
鬨（起哄）	xɔŋ31	xoŋ434	xɔŋ31	xoŋ41
甕	uəŋ55	oŋ55	kɔŋ31	oŋ51
蔔	pɔʔ44	pu325	pɔʔ33	pu33
撲	pʰɔʔ44	pʰɔʔ44	pʰɔʔ33	pʰɔʔ44
僕（~倒）	pʰɔʔ44	pʰɔʔ44	pʰɔʔ33	pʰɔʔ44
僕（僕人）	pu15	pʰɔʔ44	pʰɔʔ33	pʰu33
曝	pɔ424	paɔ325	pɔʔ31	pɑɔ31
瀑（瀑布）	pʰɔʔ44	pʰu434	pʰɔʔ33	pɑɔ31
木	mɔʔ44	mɔʔ31	mɔʔ33	mɔʔ44
禿	tʰɔʔ44	tʰɔʔ44	tʰuɔʔ33	tʰɔʔ44
獨	tɔʔ44	tɔʔ31	tɔʔ33	tɔʔ44
讀	tɔʔ44	tɔʔ31	tɔʔ33	tɔʔ44
犢（牛犢子）	tu15	tɔʔ31		tɔʔ44
鹿	lɔʔ12	lɔʔ31	luɔʔ33	lɔʔ44
祿	lɔʔ12	lɔʔ31	luɔʔ33	lɔʔ44
族	ʦɔʔ12	sɔʔ31	ʦʰuɔʔ33	ʦʰɔʔ44
速	sɔʔ44	sɔʔ44	suɔʔ33	sɔʔ44
穀（穀子）	kɔʔ44	kɔʔ44	kuɔʔ33	kɔʔ44
谷（山谷）	kɔʔ44	kɔʔ44	kuɔʔ33	kɔʔ44
哭	kʰɔʔ44	kʰɔʔ44	kʰuɔʔ33	kʰɔʔ44
屋	ɔʔ44	ɔʔ44	ɔʔ33	uʔ44
冬	tɔŋ33	toŋ55	tɔŋ33	toŋ51
農	ȵiɔŋ25	noŋ31	nɔŋ31	ȵyŋ25
膿	ȵiɔŋ31	noŋ434	ȵiɔŋ31	ȵyŋ51
宗	ʦɔŋ33	ʦoŋ55	ʦɔŋ33	ʦoŋ51
鬆(鬆緊)	sɔŋ33	soŋ55	sɔŋ33	soŋ51
統	tʰɔŋ55	tʰoŋ434	tʰɔŋ55	tʰoŋ51
宋	sɔŋ424	soŋ434	sɔŋ31	soŋ41
篤		tuɔʔ44	tɔʔ33	tuɔʔ44
督	tɔʔ44	tuɔʔ44	tɔʔ33	tuɔʔ44
毒	tɔʔ12	tuɔʔ31	tɔʔ33	tuɔʔ44
酷	kʰɔʔ44	kʰɔʔ44	kʰuɔʔ33	kʰuʔ44
沃	ɔʔ44	ɔʔ44		uʔ44
風	fɔŋ33	foŋ55	fɔŋ33	foŋ51
楓	fɔŋ33	foŋ55	fɔŋ33	foŋ51
瘋	fɔŋ33	foŋ55	fɔŋ33	foŋ51
豐	fɔŋ33	foŋ55	fɔŋ33	foŋ51
馮	fɔŋ25	foŋ325	fɔŋ24	foŋ25
隆	lɔŋ25	loŋ55	lɔŋ33	loŋ51
嵩	sɔŋ33	soŋ55	sɔŋ33	soŋ51
中(當中)	ʦɔŋ33	ʦoŋ55	ʦɔŋ33	ʦoŋ51
忠	ʦɔŋ33	ʦoŋ55	ʦɔŋ33	ʦoŋ51
蟲	ʦɔŋ25	ʦoŋ31	ʦɔŋ31	ʦoŋ25
崇	ʦʰɔŋ31	ʦoŋ31	ʦʰɔŋ24	ʦʰoŋ25
終	ʦɔŋ33	ʦoŋ55	ʦɔŋ33	ʦoŋ41
充	ʦʰɔŋ33	ʦʰoŋ55	ʦʰɔŋ33	ʦʰoŋ41
戎	ȵiɔŋ31	ȵyŋ55	ȵiɔŋ31	ȵyŋ25
絨	ȵiɔŋ31	ȵyŋ55	ȵiɔŋ31	ȵyŋ25
弓	kɔŋ33	koŋ55	kɔŋ33	koŋ41
躬	kɔŋ33	koŋ55	kɔŋ33	koŋ41
宮	kɔŋ33	koŋ55	kɔŋ33	koŋ41
窮	ʨiɔŋ25	ʨyŋ31	ʨiɔŋ24	ʦʰoŋ215
熊	ɕiɔŋ25	ɕyŋ325	ɕiɔŋ24	soŋ215
雄	ɕiɔŋ33	ɕyŋ325	iɔŋ24	soŋ215
融	iɔŋ25	yŋ55	iɔŋ24	yŋ215
諷	fɔŋ424	foŋ41	fɔŋ55	foŋ31
鳳	fɔŋ31	foŋ325	fɔŋ31	foŋ31
夢	mɔŋ31	moŋ325	mɔŋ31	moŋ31
中(射中)	ʦɔŋ424	ʦoŋ434	ʦɔŋ31	ʦoŋ31
仲	ʦɔŋ31	ʦoŋ55	ʦɔŋ31	ʦoŋ31
眾	ʦɔŋ25	ʦoŋ55	ʦɔŋ31	ʦoŋ31
福	fɔʔ12	fɔʔ44	fɔʔ33	fɔʔ44
幅	fɔʔ12	fɔʔ44	fɔʔ33	fɔʔ44
蝠(蝙蝠)	fɔʔ44	fɔʔ44	fɔʔ33	fɔʔ44
複(複數，重複)	fɔʔ44	fɔʔ44	fɔʔ33	fɔʔ44
腹	fɔʔ44	fɔʔ44	fɔʔ33	fɔʔ44
覆(反覆)	fɔʔ44	fɔʔ44	fɔʔ33	fɔʔ44
服	fɔʔ44	fɔʔ31	fɔʔ33	fɔʔ44
伏	fɔʔ31	fɔʔ31	fɔʔ33	fɔʔ44
複(復原，恢復)	fɔʔ44	fɔʔ44	fɔʔ31	fɔʔ44
目	mɔʔ31	mɔʔ31	mɔʔ31	mɔʔ44
穆	mɔʔ12	mɔʔ31	mu51	mɔʔ44
牧	mɔʔ12	mɔʔ31	mɔʔ24	mɔʔ44
六	lɔʔ12	lɔʔ31	lɔʔ24	lɔʔ44
陸	lɔʔ31	lɔʔ31	lɔʔ33	lɔʔ44
肅	sɔʔ44	sɔʔ44	sɔʔ33	sɔʔ44
宿	sɔʔ44	sɔʔ44	sɔʔ33	sɔʔ44
竹	ʦɔʔ44	ʦɔʔ44	ʦɔʔ33	ʦɔʔ44
築	ʦɔʔ44	ʦɔʔ31	ʦɔʔ33	ʦɔʔ44
畜(畜牲)	ʦʰɔʔ44	ʦʰɔʔ44	ʦʰɔʔ33	ʦʰɔʔ44
逐	ʦɔʔ12	ʦɔʔ31	ʦɔʔ33	ʦɔʔ44
軸	ʦɔʔ12	ʦɔʔ31	ʦɔʔ33	ʦɔʔ44
縮	sɔʔ44	sɔʔ44	sɔʔ33	sɔʔ44
祝	ʦɔʔ12	ʦɔʔ44	ʦɔʔ33	ʦuʔ44
粥	ʦɔʔ44	ʦɔʔ44	ʦɔʔ33	ʦɔʔ44
叔	sɔʔ44	sɔʔ44	sɔʔ33	sɔʔ44
熟(煮熟,熟悉)	sɔʔ12	sɔʔ31	sɔʔ31	sɔʔ44
淑	su22	sɔʔ44	sɔʔ33	sɔʔ44
肉	ȵiɔʔ12	ȵiɔʔ31	ȵiɔʔ24	ȵiɔʔ44
菊	ʨyɔʔ44	ʨyɔʔ44	ʦɔʔ33	ʦuɔʔ44
畜(畜牧)	ɕyɔʔ44	ɕyɔʔ44		ʦʰuɔʔ44
蓄(儲蓄)	ɕyɔʔ44	ɕyɔʔ44	sɔʔ33	suɔʔ44
鬱？	ʮ31		ʮ31	yɔʔ44
育	yɔʔ12	yɔʔ44	yɔʔ24	yɔʔ44
封	fɔŋ33	foŋ55	fɔŋ33	foŋ41
峰	fɔŋ33	foŋ55	fɔŋ33	foŋ41
蜂	fɔŋ33	foŋ55	fɔŋ33	foŋ41
鋒	fɔŋ33	foŋ55	fɔŋ33	foŋ41
逢	fɔŋ25	foŋ31	fɔŋ24	foŋ215
縫(縫衣服)	fɔŋ25	foŋ31	fɔŋ24	foŋ41
濃	ȵiɔŋ31	ȵyŋ55	ȵiɔŋ31	ȵyŋ25
龍	lɔŋ33	loŋ55	lɔŋ33	loŋ51
蹤	ʦɔŋ33	ʦoŋ55	ʦɔŋ33	ʦoŋ51
縱(縱橫)	ʦɔŋ33	ʦoŋ41	ʦɔŋ31	ʦʰoŋ25
從(從容)	ʦʰɔŋ25	soŋ325	ʦʰɔŋ24	ʦʰoŋ25
從(跟從)	ʦʰɔŋ25			ʦʰoŋ25
松(松樹)	sɔŋ33	soŋ55	sɔŋ33	soŋ51
重(重複)	ʦɔŋ25	ʦoŋ325	ʦɔŋ31	ʦʰoŋ25
鐘(時鐘)	ʦɔŋ33	ʦoŋ55	ʦɔŋ33	ʦoŋ51
