單字	松柏(調類)	松柏(調值)	注释
嚷	jiɛŋ4	jiɛŋ²¹	
媳	sɪk7	sɪk⁴	
賠	pʰui4	pʰui²¹	
窗	ʦʰuɔŋ1	ʦʰuɔŋ⁴⁵	
賬	ʦiɛŋ3	ʦiɛŋ⁴⁴	
賺	ʦan6	ʦan⁵²	
做	ʦu3	ʦu⁴⁴	
窩	wuɔ1	wuɔ⁴⁵	
俐	li6	li⁵²	
玫	mui4	mui²¹	
鍘	ʦap9	ʦap⁵²	
綁	puɔŋ2	puɔŋ²¹⁴	
綑	kʰɐn2	kʰɐn²¹⁴	
埕	ʦʰɪŋ4	ʦʰɪŋ²¹	
埔	pu6	pu⁵²	又读pʰu⁴⁴
殼	huɔk8	huɔk³	
埡	ʔa3	ʔa⁴⁴	
埠	fɐu6	fɐu⁵²	商埠，外埠
埠	pʰu6	pʰu⁵²	船埠，埠頭
抬	tʰuɔi4	tʰuɔi²¹	
礁	ʦiu1	ʦiu⁴⁵	
啪	pʰɐk7	pʰɐk⁴	
呃	ʔɐk7	ʔɐk⁴	
呆	ŋuɔi4	ŋuɔi²¹	
錨	mau4	mau²¹	
婷	tʰɪŋ4	tʰɪŋ²¹	
婿	sɐi3	sɐi⁴⁴	
袱	fʊk9	fʊk⁵²	
漩	sin4	sin²¹	
卡	kʰa3	kʰa⁴⁴	
鷥	si1	si⁴⁵	
牠	tʰa1	tʰa⁴⁵	
吩	fɐn1	fɐn⁴⁵	
瞇	mi4	mi²¹	
吔	ja1	ja⁴⁵	
吊	tiu3	tiu⁴⁴	
吆	jiu1	jiu⁴⁵	
晌	hiɛŋ2	hiɛŋ²¹⁴	
晒	sai3	sai⁴⁴	
壩	pa3	pa⁴⁴	
晰	sɪk7	sɪk⁴	
晾	luɔŋ6	luɔŋ⁵²	
拿	na4	na²¹	
拷	hau1	hau⁴⁵	
秘	pi3	pi⁴⁴	
拆	ʦʰɐk7	ʦʰɐk⁴	
爺	jɛ4	jɛ²¹	
葡	pʰu4	pʰu²¹	
嬸	sɐm2	sɐm²¹⁴	
蟑	ʦiɛŋ1	ʦiɛŋ⁴⁵	
錳	mɐŋ5	mɐŋ²¹²	
垃	lɐp9	lɐp⁵²	
毽	kin6	kin⁵²	
垮	kʰa1	kʰa⁴⁵	
菠	puɔ1	puɔ⁴⁵	
菫	kɐn2	kɐn²¹⁴	
哎	ʔai1	ʔai⁴⁵	
菇	ku1	ku⁴⁵	
潑	pʰut8	pʰut³	
戳	ʦʰiɛk8	ʦʰiɛk³	
鵪	ʔɐm1	ʔɐm⁴⁵	
裙	kʰɐn4	kʰɐn²¹	
皂	ʦɐu6	ʦɐu⁵²	
皓	hɐu6	hɐu⁵²	
炸	ʦa3	ʦa⁴⁴	
甦	su1	su⁴⁵	
甩	lɐt7	lɐt⁴	
褪	tʰui3	tʰui⁴⁴	褪色
耗	hɐu3	hɐu⁴⁴	
狠	hɐn2	hɐn²¹⁴	
蒂	tɐi3	tɐi⁴⁴	
坏	pʰui1	pʰui⁴⁵	同「坯」
乒	pɪŋ1	pɪŋ⁴⁵	
乓	pɐŋ1	pɐŋ⁴⁵	
么	jiu1	jiu⁴⁵	
趴	pʰa1	pʰa⁴⁵	
痺	pi3	pi⁴⁴	
症	ʦɪŋ3	ʦɪŋ⁴⁴	
趕	kuɔn2	kuɔn²¹⁴	
痘	tɐu6	tɐu⁵²	
硼	pʰɐŋ4	pʰɐŋ²¹	
找	ʦau2	ʦau²¹⁴	
扼	ʔɐk7	ʔɐk⁴	
扯	ʦʰɛ2	ʦʰɛ²¹⁴	
托	tʰuɔk8	tʰuɔk³	
硓	lɐu5	lɐu²¹²	
蚜	ŋa4	ŋa²¹	
氧	jiɛŋ5	jiɛŋ²¹²	
氯	lʊk9	lʊk⁵²	
氫	hɪŋ1	hɪŋ⁴⁵	
煉	lin6	lin⁵²	
煲	pɐu1	pɐu⁴⁵	
煮	ʦi2	ʦi²¹⁴	
僮	ʦuɔŋ6	ʦuɔŋ⁵²	僮族
哄	hʊŋ1	hʊŋ⁴⁵	亂哄哄
忪	sʊŋ1	sʊŋ⁴⁵	惺忪
衝	ʦʰʊŋ1	ʦʰʊŋ⁴⁵	衝勁
幢			海幢寺
喔	ʔuɔ1	ʔuɔ⁴⁵	嘆詞
匙	si4	si²¹	茶匙，湯匙，一本作「瓷」
知	ʦi3	ʦi⁴⁴	知識
靡	mi4	mi²¹	
壘	lɐt9	lɐt⁵²	神荼鬱壘
恣	ʦi1	ʦi⁴⁵	恣睢
龜	kɐi1	kɐi⁴⁵	
率	lɐt9	lɐt⁵²	效率
釐			
仔	ʦɐi2	ʦɐi²¹⁴	豬仔
思			于思
着			
藷			藷蔗
噓			語氣詞
與	ji5	ji²¹²	參與
嶼			大嶼山。山名
荼			神荼
呱	ka1	ka⁴⁵	頂呱呱
傅			傅粉施朱
會	wui5	wui²¹²	懂得,又读wɐi²¹²
查	ʦa1	ʦa⁴⁵	查姓
扒	pʰa4	pʰa²¹	扒飯
扒			扒皮
洩			排洩
齊			齊衰
咳	kʰɐt7	kʰɐt⁴	咳嗽
欸			
孫			
頓			冒頓
吃	hɐt7	hɐt⁴	
吃			吃食
文			文過
暈	wɐn4	wɐn²¹	頭暈
佛	fɐt7	fɐt⁴	仿佛
般	pun1	pun⁴⁵	般若
玩	wan2	wan²¹⁴	去玩
抹	mat8	mat³	抹檯
蕃			吐蕃
圈	hin1	hin⁴⁵	白读kʰiɛn⁴⁵
柵	san1	san⁴⁵	柵極
令	lɪŋ6	lɪŋ⁵²	命令
令			一令紙
嬛			嫏嬛
雋			
輾	niɛn5	niɛn²¹²	輾穀
靦	min2	min²¹⁴	靦腆
桔	kit8	kit³	桔柣
叨	tʰɐu1	tʰɐu⁴⁵	嘮叨
潦	liu4	liu²¹	潦倒
炮	pʰau3	pʰau⁴⁴	
泡	pʰau1	pʰau⁴⁵	燈泡
泡	pʰɐu5	pʰɐu²¹²	白讀
囉	luɔ4	luɔ²¹	嘍囉
莎	sa1	sa⁴⁵	莎士比亞
哦	ʔuɔ4	ʔuɔ²¹	語氣詞
阿	ʔa3	ʔa⁴⁴	阿伯
伽	ka1	ka⁴⁵	瑜伽
娜	nuɔ4	nuɔ²¹	安娜
可			可汗
跛	pɐi1	pɐi⁴⁵	白讀
家			曹大家
划			划算
蝦			蝦蟆
吧	pʰa6	pʰa⁵²	語助詞
吒	ʦʰɐk7	ʦʰɐk⁴	叱吒
檔	tuɔŋ2	tuɔŋ²¹⁴	
檔	tuɔŋ2	tuɔŋ²¹⁴	
吭			
膀	pʰuɔŋ2	pʰuɔŋ²¹⁴	肩膀
磅	pʰuɔŋ6	pʰuɔŋ⁵²	重量單位
擋	tuɔŋ2	tuɔŋ²¹⁴	阻擋
魄			旁魄
拓	tʰuɔk8	tʰuɔk³	拓本
酪	luɔk8	luɔk³	杏仁酪
落			落低
搶	ʦʰiɛŋ1	ʦʰiɛŋ⁴⁵	
攘			擾攘
芒	muɔŋ1	muɔŋ⁴⁵	芒果
強	kʰiɛŋ5	kʰiɛŋ²¹²	勉強
強			倔強
仗	ʦiɛŋ3	ʦiɛŋ⁴⁴	打仗
溺			便溺
鎗			
打	ta2	ta²¹⁴	
打	ta1	ta⁴⁵	量词
伯			春秋五伯
繃			繃著臉
睪	kɐu1	kɐu⁴⁵	睪丸
町			畹町，地名
瀝			大瀝，地名
楞			發楞
秤	pʰɪŋ4	pʰɪŋ²¹	天秤
咻	hui2	hui²¹⁴	噢咻
仇	sɐu4	sɐu²¹	仇人
有	jɐu5	jɐu²¹²	
復	fʊk7	fʊk⁴	回復
嘔			嘔氣
擻			擻火
撢			雞毛撢子
什	sɐm6	sɐm⁵²	什麼
檻	kʰam5	kʰam²¹²	門檻
奄	jim2	jim²¹⁴	奄奄一息
拈			拈線
閤			閤眼
閤			閤樓
蛤			蛤蟆
掙	ʦɐŋ6	ʦɐŋ⁵²	掙錢
間	kan3	kan⁴⁴	間接
嗎			
嗆	ʦʰiɛŋ3	ʦʰiɛŋ⁴⁴	嗆鼻
儘	ʦɐn6	ʦɐn⁵²	儘量
喇	la1	la⁴⁵	喇叭
迤			逶迤
哼	hŋ6	hŋ⁵²	感歎詞
哪			哪裡
哪	nuɔ4	nuɔ²¹	天哪
哩			哩嚕
勾			勾當
茲			龜茲，國名
螞	ma5	ma²¹²	螞蚱
螞			螞螂
嘿			通「默」
咯			咯咯笑
咯			咯血
褪	tʰɐn3	tʰɐn⁴⁴	褪落來
饃	muɔk8	muɔk³	
鈀	pʰa4	pʰa²¹	
伢	ŋa4	ŋa²¹	
麝			
佘	sɛ4	sɛ²¹	
跗			
裴	fi2	fi²¹⁴	
徛	ji2	ji²¹⁴	
祁	kʰi4	kʰi²¹	
餧			
澇	lɐu6	lɐu⁵²	
麅			
鉋			
橈			
蕎			
鷂	jiu6	jiu⁵²	
敨			
餾			
搊			
鏨			
魘			
腌	jip8	jip³	白读
苶			
搛			
撳	kɐm6	kɐm⁵²	
妗	ʦʰɐm5	ʦʰɐm²¹²	
爿			
澠			
掮			
犍	kin6	kin⁵²	
蔫			
拽			
犍	kin6	kin⁵²	
憋	pit8	pit³	
攢			
汆			
膞			
篅			
抿	mɐn5	mɐn²¹²	
燐	lɐn4	lɐn²¹	
錛			
逩			
榫	sɐn2	sɐn²¹⁴	
柞			
搡			
囥			
桄			
攮			
搉			
夯	hɐŋ1	hɐŋ⁴⁵	
虻	muɔŋ4	muɔŋ²¹	
𨨌			
䝼			
靪			
疔			
檾			
蠓	mʊŋ4	mʊŋ²¹	
熥			
衆	ʦʊŋ3	ʦʊŋ⁴⁴	
撣			
氨	uɔn1	uɔn⁴⁵	
泵	pɐm1	pɐm⁴⁵	
鉑	pʰɐk7	pʰɐk⁴	
搐	ʦʰʊk7	ʦʰʊk⁴	
傣	tai2	tai²¹⁴	
氮	tam6	tam⁵²	
碲			
腚			
侗			侗族
氟			
莞	kun2	kun²¹⁴	東莞
錕	kʰɐn1	kʰɐn⁴⁵	
嶗	lɐu4	lɐu²¹	
佬	lɐu2	lɐu²¹⁴	
姥			姥姥
喱	li1	li⁴⁵	
鋰	li2	li²¹⁴	
嫲	ma4	ma²¹	
獁	ma5	ma²¹²	
蟎	mun5	mun²¹²	
酶	mui5	mui²¹²	
鎂	mi5	mi²¹²	
醚	mɐi6	mɐi⁵²	
緲	miu5	miu²¹²	
覃	ʦʰɐn4	ʦʰɐn²¹	覃姓
撈	lau1	lau⁴⁵	打捞
