□	丨(囗) 一
𰱶	艹 心
𰱷	來 花
𰱸	艹 火
𰱹	艹 屰
𰱺	艹 羽(翕)
𰱻	艹 良(稂)
𰱼	蒂(艹) 口(啻)
𰱽	艹 酋
𰱾	艹 赖
𰱿	艹 逼
𰲀	莫 圭
𰲁	艹 颓
𰲂	艹 腾
𰲃	艹 皿
𰲄	莘 臣
𰲅	艹 韭
𰲆	艹 溶
𰲇	茹 豆
𰲈	艹 攵
𰲉	艹 漚
𰲊	艹 歐
𰲋	蓋 发
𰲌	艹 曼
𰲍	草 春
𰲎	菜 求
𰲏	艹 羊
𰲐	日 蔴
𰲑	蕉 介
𰲒	艹 页
𰲓	薛 于(亐)
𰲔	艹 席
𰲕	艹 水
𰲖	艹 嚣
𰲗	艹 韭
𰲘	虎 匕
𰲙	虍 介
𰲚	厂 人
𰲛	虎 口
𰲜	虎 兀
𰲝	厂 巾
𰲞	虎 戈
𰲟	虎 乌
𰲠	戋 虎
𰲡	虍 又
𰲢	虍 含
𰲣	虍 君
𰲤	虍 干
𰲥	曲 虎
𰲦	虎 虫
𰲧	虍 皆
𰲨	喿 虎
𰲩	虫 九
𰲪	虫 么
𰲫	虫 无
𰲬	虫 车
𰲭	日 虫
𰲮	丨 虫
𰲯	虫 从
𰲰	虫 仑
𰲱	方 虫
𰲲	虫 为
𰲳	虫 戋
𰲴	龙 虫
𰲵	虫 择(𠬤)
𰲶	虫 经(𢀖)
𰲷	虫 疋
𰲸	亚 虫
𰲹	虫 岂
𰲺	虫 过
𰲻	虫 达
𰲼	虫 旱
𰲽	虫 一
𰲾	虫 角
𰲿	虫 还
𰳀	百 虫
𰳁	虫 责
𰳂	虫 斩
𰳃	虫 杰
𰳄	陈 虫
𰳅	虫 肯
𰳆	虫 齿
𰳇	虫 土(坣)
𰳈	虫 宜
𰳉	虫 弥
𰳊	虫 贲
𰳋	殄 虫
𰳌	虫 迪
𰳍	虫 类
𰳎	埋 虫
𰳏	虫 党
𰳐	止 虫
𰳑	修 虫
𰳒	鬼 虫
𰳓	虫 祝
𰳔	虫 能
𰳕	虫 娘
𰳖	可 虫
𰳗	虫 婴
𰳘	虫 崖
𰳙	虫 盖
𰳚	维 虫
𰳛	蛛 交
𰳜	虫 堕
𰳝	敝(㡀) 虫
𰳞	虫 豕
𰳟	虫 鳩
𰳠	虫 煞
𰳡	虫 辣
𰳢	蛋 虽
𰳣	嫩 虫
𰳤	堯 虾
𰳥	虫 蕊
𰳦	虫 額
𰳧	戊 血
𰳨	血 列
𰳩	血 麥
𰳪	行 糸
𰳫	行 貝
𰳬	行 步
𰳭	行 止
𰳮	行 方
𰳯	行 幸
𰳰	衤 匕
𰳱	衤 六
𰳲	衤 龙
𰳳	布 衣
𰳴	衤 代
𰳵	衤 艺
𰳶	衤 永
𰳷	衤 加
𰳸	衤 对
𰳹	衤 厌
𰳺	衤 农
𰳻	衤 达
𰳼	衤 丽
𰳽	衤 孝
𰳾	衤 助
𰳿	衤 妥
𰴀	衤 兵
𰴁	衤 夭(芺)
𰴂	衤 参
𰴃	衤 畐
𰴄	衤 水
𰴅	被 田
𰴆	木 衣
𰴇	衤 堂
𰴈	衤 敏
𰴉	衤 憲
𰴊	衤 廾(弇)
𰴋	西 九
𰴌	要 快
𰴍	要 業
𰴎	央 見
𰴏	見 句
𰴐	失 見
𰴑	見 吞
𰴒	雨 見
𰴓	真 見
𰴔	业 見
𰴕	必 见
𰴖	召 见
𰴗	丽 见
𰴘	间 见
𰴙	君 见
𰴚	娄 见
𰴛	卯 见
𰴜	虍 见
𰴝	爪 见
𰴞	虍 见
𰴟	刀 月
𰴠	角 又
𰴡	角 廾
𰴢	角 乐
𰴣	小 角
𰴤	角 来
𰴥	角 间
𰴦	角 間
𰴧	乙 言
𰴨	厶 言
𰴩	言 刀
𰴪	不 言
𰴫	言 未
𰴬	歹 言
𰴭	一(㐁) 言
𰴮	言 亘
𰴯	莹(𫇦) 言
𰴰	言 吕
𰴱	月 又
𰴲	言 屰
𰴳	言 小
𰴴	安 言
𰴵	言 产
𰴶	言 丞
𰴷	言 夂
𰴸	欢 言
𰴹	言 坚
𰴺	言 宋
𰴻	言 闷
𰴼	言 具
𰴽	言 卷
𰴾	言 彡
𰴿	囚 言
𰵀	言 言(訇)
𰵁	言 狠
𰵂	言 娄
𰵃	言 竞
𰵄	言 难
𰵅	言 炎
𰵆	言 屰
𰵇	言 雋
𰵈	言 等
𰵉	言 夢
𰵊	讠 丩
𰵋	讠 千
𰵌	讠 杨(𠃓)
𰵍	讠 屯
𰵎	讠 尤
𰵏	讠 少
𰵐	讠 反
𰵑	讠 为
𰵒	讠 冘
𰵓	讠 术
𰵔	讠 世
𰵕	讠 青
𰵖	讠 艺
𰵗	讠 央
𰵘	讠 冉
𰵙	讠 失
𰵚	讠 令
𰵛	讠 句
𰵜	讠 包
𰵝	讠 禾
𰵞	讠 永
𰵟	讠 兰
𰵠	讠 奴
𰵡	讠 经(𢀖)
𰵢	讠 夹
𰵣	讠 合
𰵤	讠 各
𰵥	讠 多
𰵦	讠 交
𰵧	讠 志
𰵨	讠 严
𰵩	讠 甫
𰵪	讠 冏
𰵫	讠 豆
𰵬	讠 别
𰵭	讠 利
𰵮	讠 我
𰵯	讠 夋
𰵰	讠 幸
𰵱	讠 林
𰵲	讠 其
𰵳	讠 卓
𰵴	讠 叔
𰵵	讠 兒
𰵶	讠 垂
𰵷	讠 叕
𰵸	讠 沓
𰵹	讠 聂
𰵺	讠 原
𰵻	讠 夸
𰵼	讠 桀
𰵽	讠 舀
𰵾	讠 奚
𰵿	讠 高
𰶀	讠 雩
𰶁	讠 移
𰶂	讠 心
𰶃	讠 習
𰶄	讠 奢
𰶅	讠 皋(臯)
𰶆	讠 敢
𰶇	讠 隋
𰶈	讠 犀
𰶉	讠 旦(亶)
𰶊	讠 意
𰶋	讠 巳
𰶌	讠 需
𰶍	讠 夂(夐)
𰶎	讠 止
𰶏	讠 龠
𰶐	人 谷
𰶑	谷 龙
𰶒	包 谷
𰶓	谷 列
𰶔	谷 卖
𰶕	谷 天
𰶖	宀 谷
𰶗	豆 乙
𰶘	夫 豆
𰶙	豆 火
𰶚	手 豆
𰶛	伏 豆
𰶜	豆 完
𰶝	非 豆
𰶞	豆 栽
𰶟	声(殸) 豆
𰶠	豆 都
𰶡	豆 田
𰶢	豆 想
𰶣	豊 邕
𰶤	豕 匕
𰶥	豕 卩
𰶦	豕 矢
𰶧	豕 取
𰶨	豕 觅
𰶩	卷(龹) 豕
𰶪	豕 查
𰶫	豕 令(苓)
𰶬	豕 娄
𰶭	豕 有
𰶮	豕 之
𰶯	象 林
𰶰	豕 靈
𰶱	十 貝
𰶲	亡 貝
𰶳	比 貝
𰶴	貝 土
𰶵	止 貝
𰶶	勿 貝
𰶷	貝 欠
𰶸	之 貝
𰶹	貝 文
𰶺	員(貟) 刁
𰶻	貝 引
𰶼	貝 田
𰶽	貝 史
𰶾	貝 令
𰶿	貝 它
𰷀	貝 耳
𰷁	貝 当
𰷂	貝 多
𰷃	山 貝
𰷄	全 貝
𰷅	貝 耜(㠯)
𰷆	玫 貝
𰷇	貝 岳
𰷈	貝 匊
𰷉	貝 面
𰷊	貝 栽
𰷋	貝 开
𰷌	卉 貴
𰷍	戕 貝
𰷎	声(殸) 貝
𰷏	貝 又
𰷐	刀 貝
𰷑	貝 喪
𰷒	貴 兵
𰷓	貴 体
𰷔	介 賣
𰷕	空 貧
𰷖	貝 兼
𰷗	貝 又
𰷘	貝 赫
𰷙	暑 負
𰷚	貝 貝(賔)
𰷛	貝 廉
𰷜	貝 言
𰷝	章 貝
𰷞	弋 贝
𰷟	贝 杨(𠃓)
𰷠	贝 也
𰷡	贝 元
𰷢	贝 氐
𰷣	夫 贝
𰷤	贝 卒
𰷥	宗 贝
𰷦	云 费
𰷧	聿 贝
𰷨	贝 鬼
𰷩	贝 贝
𰷪	贝 益
𰷫	贝 犬
𰷬	贝 廉
𰷭	贝 臧
𰷮	虎 贝
𰷯	同 赤
𰷰	赤 營
𰷱	走 与
𰷲	走 片
𰷳	夭 且
𰷴	走 乐
𰷵	走 尧
𰷶	走 乔
𰷷	走 丶(豕)
𰷸	走 卖
𰷹	走 林
𰷺	走 貞
𰷻	夭 真
𰷼	走 冋
𰷽	走 田
𰷾	走 匆
𰷿	夭 喬
𰸀	走 零
𰸁	足 刀
𰸂	足 大
𰸃	足 久
𰸄	足 杨(𠃓)
𰸅	足 攴
𰸆	足 六
𰸇	足 双
𰸈	执 足
𰸉	足 于
𰸊	足 岁
𰸋	足 后
𰸌	足 刂
𰸍	企 足
𰸎	足 产
𰸏	次 足
𰸐	足 丽
𰸑	足 克
𰸒	足 旧
𰸓	足 又
𰸔	足 连
𰸕	足 肯
𰸖	足 昂
𰸗	足 米
𰸘	足 怪
𰸙	足 参
𰸚	足 带
𰸛	带 足
𰸜	足 某
𰸝	足 于(亐)
𰸞	足 贵
𰸟	足 田
𰸠	足 則
𰸡	足 廾(弇)
𰸢	足 水
𰸣	足 急
𰸤	足 免
𰸥	足 亭
𰸦	足 贺
𰸧	足 一
𰸨	足 米
𰸩	足 逃
𰸪	足 得
𰸫	足 彭
𰸬	足 提
𰸭	足 貼
𰸮	足 量
𰸯	足 日
𰸰	足 頁
𰸱	足 豆
𰸲	足 節
𰸳	足 蒦
𰸴	足 疑
𰸵	足 領
𰸶	足 儉
𰸷	薛 足
𰸸	足 歸
𰸹	足 孽
𰸺	身 反
𰸻	身 弓
𰸼	身 夫
𰸽	身 必
𰸾	身 得(㝵)
𰸿	身 罗
𰹀	身 单
𰹁	身 歪
𰹂	身 句(苟)
𰹃	身 若
𰹄	身 耑
𰹅	身 拜
𰹆	身 爱
𰹇	身 萎
𰹈	車 乙
𰹉	車 乙
𰹊	車 乇
𰹋	車 勺
𰹌	六 車
𰹍	車 本
𰹎	車 人
𰹏	車 卩
𰹐	車 加
𰹑	車 日
𰹒	車 尿
𰹓	車 或
𰹔	車 木(杲)
𰹕	車 口
𰹖	車 秉
𰹗	車 寸
𰹘	車 受
𰹙	車 正
𰹚	車 欠
𰹛	車 乘(乗)
𰹜	車 又
𰹝	車 可
𰹞	厶(厽) 車
𰹟	車 田
𰹠	車 隽
𰹡	車 剥
𰹢	車 示
𰹣	車 心
𰹤	車 留(畱)
𰹥	車 万
𰹦	車 貿
𰹧	車 肅
𰹨	車 耑(遄)
𰹩	車 賓
𰹪	車 廉
𰹫	車 山
𰹬	車 藏
𰹭	車 攵
𰹮	車 焦
𰹯	车 乙
𰹰	车 入
𰹱	车 犯(㔾)
𰹲	车 口
𰹳	车 川
𰹴	车 凡
𰹵	车 义
𰹶	车 王
𰹷	车 元
𰹸	车 屯
𰹹	车 切
𰹺	车 反
𰹻	车 巴
𰹼	车 戋
𰹽	车 平
𰹾	丨 车
𰹿	车 付
𰺀	车 氐
𰺁	车 句
𰺂	车 包
𰺃	车 对
𰺄	车 共
𰺅	共 车
𰺆	车 旬
𰺇	车 完
𰺈	车 君
𰺉	车 青
𰺊	车 夌
𰺋	车 取
𰺌	车 卖
𰺍	车 果
𰺎	车 非
𰺏	车 朋
𰺐	车 臽
𰺑	车 宛
𰺒	车 耑
𰺓	车 复
𰺔	车 夂(㚇)
𰺕	车 度
𰺖	车 秦
𰺗	车 监
𰺘	声(殸) 车
𰺙	车 啬
𰺚	车 而
𰺛	车 尞
𰺜	车 番
𰺝	车 童
𰺞	车 孱
𰺟	車 车
𰺠	车 献
𰺡	车 蓋
𰺢	车 磊
𰺣	车 隹(蔺)
𰺤	车 臱
𰺥	辛 丸
𰺦	辛 丶
𰺧	先 辛
𰺨	辛 画
𰺩	辛 咸
𰺪	辛 人
𰺫	辛 兼
𰺬	爾 辛
𰺭	辰 会
𰺮	辵 卜
𰺯	辶 艹
𰺰	辶 兀
𰺱	辶 巾
𰺲	辶 杨(𠃓)
𰺳	辶 弓
𰺴	辶 匹
𰺵	辵 止
𰺶	辶 瓜
𰺷	辶 尧
𰺸	辶 托
𰺹	辶 团
𰺺	辶 派
𰺻	辶 志
𰺼	辵 豕
𰺽	辶 良
𰺾	辶 奄
𰺿	辶 叀
𰻀	辶 卦
𰻁	辶 典
𰻂	辶 火(炅)
𰻃	辶 受
𰻄	辶 月
𰻅	辶 咅
𰻆	辶 带
𰻇	辶 复
𰻈	辵 重
𰻉	辶 心
𰻊	辶 高
𰻋	辶 斤
𰻌	辶 水
𰻍	辶 聿
𰻎	辶 土
𰻏	辶 侖
𰻐	辶 畢
𰻑	辶 品
𰻒	辶 品
𰻓	立 逢
𰻔	辶 羊
𰻕	辶 肅
𰻖	弄 迷
𰻗	辶 羊
𰻘	辶 奥
𰻙	近 枼
𰻚	辶 羊
𰻛	辶 猪(豬)
𰻜	辶 京
𰻝	辶 心
𰻞	辶 心
𰻟	丿 阝
𰻠	巳 阝
𰻡	无 阝
𰻢	丐 阝
𰻣	屯 邑
𰻤	止 阝
𰻥	化 阝
𰻦	为 阝
𰻧	古 邑
𰻨	东 阝
𰻩	山(屾) 邑
𰻪	耂 阝
𰻫	甸 阝
𰻬	完 阝
𰻭	季 阝
𰻮	枭 阝
𰻯	京 阝
𰻰	尸 阝
𰻱	弓 邑
𰻲	匚 阝
𰻳	费 阝
𰻴	王 阝
𰻵	四 阝
𰻶	山 阝
𰻷	殷 邑
𰻸	那 艮
𰻹	刀 阝
𰻺	密 阝
𰻻	宀 阝
𰻼	林 阝
𰻽	广 阝
𰻾	罪 阝
𰻿	黍 邑
𰼀	先 阝
𰼁	享 邑
𰼂	雨 阝
𰼃	酉 上
𰼄	酉 升
𰼅	酉 择(𠬤)
𰼆	奴 酉
𰼇	酉 又
𰼈	酉 那
𰼉	酉 又
𰼊	酉 或
𰼋	酉 劳
𰼌	酉 非
𰼍	酋 幺
𰼎	酉 又
𰼏	酉 监
𰼐	酉 皿
𰼑	酉 满(𬜯)
𰼒	酉 于
𰼓	酉 替
𰼔	酉 結
𰼕	酉 寸
𰼖	酉 審
𰼗	釆 井
𰼘	里 乙
𰼙	里 匀
𰼚	扌 里
𰼛	来 里
𰼜	重 侵(𠬶)
𰼝	里 音
𰼞	重 金
𰼟	金 口
𰼠	金 飞
𰼡	分 金
𰼢	金 父
𰼣	金 贮(㝉)
𰼤	金 末
𰼥	金 卢
𰼦	金 发
𰼧	金 亘
𰼨	金 尖
𰼩	夕 金
𰼪	牟 金
𰼫	厶(厽) 金
𰼬	金 丞
𰼭	金 过
𰼮	金 困
𰼯	金 正
𰼰	金 角
𰼱	金 十(皁)
𰼲	金 甸
𰼳	金 佥
𰼴	金 那
𰼵	歹 金
𰼶	刺 金
𰼷	拉 金
𰼸	金 文
𰼹	金 图
𰼺	金 廾
𰼻	轻 金
𰼼	鈍 末
𰼽	相 金
𰼾	金 月
𰼿	金 土
𰽀	金 刂
𰽁	金 故
𰽂	金 逄
𰽃	金 脊
𰽄	金 小
𰽅	金 离
𰽆	金 心
𰽇	金 提
𰽈	項 金
𰽉	錯 六
𰽊	金 裂
𰽋	金 是(寔)
𰽌	金 就
𰽍	金 遇
𰽎	金 又
𰽏	金 蒲
𰽐	金 嘗
𰽑	辛 金
𰽒	金 夂(敻)
𰽓	金 覺
𰽔	鏡 鏡
𰽕	钅 几
𰽖	钅 力
𰽗	钅 于
𰽘	钅 大
𰽙	钅 上
𰽚	钅 广
𰽛	钅 小
𰽜	钅 区
𰽝	钅 历
𰽞	钅 厄
𰽟	钅 井
𰽠	钅 止
𰽡	钅 日
𰽢	钅 见
𰽣	钅 引
𰽤	钅 夬
𰽥	钅 丙
𰽦	钅 龙
𰽧	钅 丕
𰽨	钅 只
𰽩	钅 卡
𰽪	钅 仝
𰽫	钅 生
𰽬	钅 禾
𰽭	钅 句
𰽮	钅 付
𰽯	钅 主
𰽰	钅 半
𰽱	钅 弗
𰽲	钅 吉
𰽳	钅 页
𰽴	钅 夸
𰽵	钅 光
𰽶	钅 虫
𰽷	钅 岁
𰽸	钅 派(𠂢)
𰽹	钅 多
𰽺	钅 危
𰽻	钅 任
𰽼	钅 并
𰽽	钅 羊
𰽾	钅 过
𰽿	钅 耳
𰾀	钅 孛
𰾁	钅 汞
𰾂	钅 真
𰾃	钅 足
𰾄	钅 每
𰾅	钅 含
𰾆	钅 谷
𰾇	钅 吞
𰾈	钅 沙
𰾉	钅 罕
𰾊	钅 囱
𰾋	钅 库
𰾌	钅 斩
𰾍	钅 表
𰾎	钅 卑
𰾏	钅 匋
𰾐	钅 非
𰾑	钅 金
𰾒	钅 官
𰾓	钅 沓
𰾔	钅 土
𰾕	钅 枼
𰾖	钅 月
𰾗	钅 咸
𰾘	钅 甚
𰾙	钅 禺
𰾚	钅 畏
𰾛	钅 界
𰾜	钅 耑
𰾝	钅 星
𰾞	钅 夂(㚇)
𰾟	钅 复
𰾠	钅 免
𰾡	钅 言(訇)
𰾢	钅 施
𰾣	钅 屋
𰾤	钅 叚
𰾥	钅 癸
𰾦	钅 彖
𰾧	钅 敖
𰾨	钅 冓
𰾩	钅 盍
𰾪	钅 恶
𰾫	钅 监
𰾬	钅 塌(𦐇)
𰾭	钅 爱
𰾮	钅 兼
𰾯	钅 唐
𰾰	钅 崔
𰾱	钅 心
𰾲	钅 鹿
𰾳	钅 敢
𰾴	钅 斯
𰾵	钅 辜
𰾶	钅 惠
𰾷	钅 日
𰾸	钅 鼎
𰾹	钅 雋
𰾺	钅 粤
𰾻	钅 奠
𰾼	钅 巽
𰾽	钅 属
𰾾	钅 献
𰾿	钅 葛
𰿀	钅 鉴
𰿁	钅 匕
𰿂	钅 需
𰿃	钅 蔑
𰿄	钅 田
𰿅	钅 雋(嶲)
𰿆	钅 赞
𰿇	钅 刂
𰿈	钅 韭(韱)
𰿉	钅 壘
𰿊	钅 羊(羸)
𰿋	么 長
𰿌	镸 分
𰿍	农 長
𰿎	镸 日
𰿏	長 里
𰿐	镸 流(㐬)
𰿑	镸 吉
𰿒	镸 缶
𰿓	镸 主
𰿔	長 康
𰿕	镸 參
𰿖	不 长
𰿗	門 卜
𰿘	門 万
𰿙	門 久
𰿚	門 夕
𰿛	門 丫
𰿜	門 勿
𰿝	門 六
𰿞	門 刂
𰿟	門 在
𰿠	開 天
𰿡	門 侖
𰿢	門 空
𰿣	門 封
𰿤	門 滿
𰿥	门 丨
𰿦	二 门
𰿧	门 女
𰿨	门 元
𰿩	门 牙
𰿪	门 分
𰿫	门 为
𰿬	门 平
𰿭	门 田
𰿮	门 自
𰿯	门 豆
𰿰	门 身
𰿱	门 朋
𰿲	门 昆
𰿳	杀 闪
𰿴	门 曷
𰿵	门 俞
𰿶	门 穿
𰿷	门 示
𰿸	门 臭
𰿹	门 黄
𰿺	门 堂
𰿻	门 羽(翕)
𰿼	门 曾
𰿽	门 亮
𰿾	门 辟
𰿿	门 害
𱀀	门 酸
𱀁	阜 千
𱀂	阜 子
𱀃	阝 巾
𱀄	阝 公
𱀅	阜 夬
𱀆	阝 古
𱀇	阝 禾
𱀈	阜 乍
𱀉	追(𠂤) 句
𱀊	阝 九
𱀋	阝 圭
𱀌	阝 正
𱀍	阝 干
𱀎	阝 文
𱀏	阝 企
𱀐	阝 巳
𱀑	阝 马
𱀒	阝 少
𱀓	追(𠂤) 肖
𱀔	阝 之
𱀕	阝 又
𱀖	阜 夋
𱀗	阝 昔
𱀘	追(𠂤) 夌
𱀙	阝 用
𱀚	阝 委
𱀛	阝 舍
𱀜	阜 隹
𱀝	阜 阜
𱀞	阝 空
𱀟	阜 享
𱀠	耜(㠯) 帚
𱀡	阝 贲
𱀢	阝 郁
𱀣	阝 正
𱀤	阝 女
𱀥	阝 叟
𱀦	阝 止
𱀧	阝 土
𱀨	阝 廾
𱀩	阝 又
𱀪	阝 冓
𱀫	阝 山
𱀬	阝 土
𱀭	阝 丘
𱀮	阜 祭
𱀯	阝 寅
𱀰	阝 畏
𱀱	阝 替
𱀲	阝 儿
𱀳	追(𠂤) 賁
𱀴	阝 貝
𱀵	阝 尊
𱀶	阝 兼
𱀷	阝 達
𱀸	阝 乎
𱀹	阝 乙
𱀺	阝 路
𱀻	阝 蒦
𱀼	阝 戈
𱀽	阝 戈
𱀾	阝 网
𱀿	阝 適
𱁀	随 心
𱁁	阝 取
𱁂	隊 水
𱁃	追(𠂤) 益
𱁄	追(𠂤) 益
𱁅	八 隹
𱁆	隹 厶
𱁇	冂 隹
𱁈	乡 隹
𱁉	斗 隹
𱁊	亠 隹
𱁋	隹 從
𱁌	羽 隹
𱁍	雁 直
𱁎	含 隹
𱁏	宀 隹
𱁐	出 隹
𱁑	雨 匕
𱁒	雨 对
𱁓	雨 刀
𱁔	雨 坊
𱁕	雨 土
𱁖	雨 坚
𱁗	雷 八
𱁘	雨 男
𱁙	雨 沃
𱁚	雨 防
𱁛	雨 東
𱁜	雨 几
𱁝	雨 取
𱁞	雨 单
𱁟	雨 育
𱁠	電 巴
𱁡	雨 夅
𱁢	雨 任
𱁣	雪 宜
𱁤	雷 眉
𱁥	雲 帶
𱁦	雨 賜
𱁧	雨 每
𱁨	雨 審
𱁩	雨 豊
𱁪	雨 土
𱁫	雨 隹
𱁬	雲 龍
𱁭	青 之
𱁮	青 侵(𠬶)
𱁯	毛 非
𱁰	面 拿
𱁱	革 杨(𠃓)
𱁲	革 冗
𱁳	革 择(𠬤)
𱁴	革 毕
𱁵	革 边
𱁶	革 迁
𱁷	革 卖
𱁸	革 句(苟)
𱁹	革 贵
𱁺	革 娄
𱁻	革 戍
𱁼	革 害
𱁽	革 阑
𱁾	革 阑
𱁿	韋 叉
𱂀	韋 水
𱂁	韋 皮
𱂂	韋 利
𱂃	韦 及
𱂄	韦 未
𱂅	韦 必
𱂆	韦 合
𱂇	卷(龹) 韦
𱂈	韦 军
𱂉	韦 肖
𱂊	韦 枼
𱂋	韦 蜀
𱂌	韦 蒦
𱂍	队 韭
𱂎	卜 韭
𱂏	也 音
𱂐	音 员
𱂑	音 工
𱂒	音 禺
𱂓	音 口
𱂔	户 頁
𱂕	九 頁
𱂖	火 頁
𱂗	八 頁
𱂘	大 頁
𱂙	日(妟) 頁
𱂚	鬲 頁
𱂛	舟 頁
𱂜	旁 頁
𱂝	隹 頁
𱂞	自 頁
𱂟	竹 頁
𱂠	乇 页
𱂡	气 页
𱂢	出 页
𱂣	尧 页
𱂤	岁 页
𱂥	各 页
𱂦	并 页
𱂧	米 页
𱂨	安 页
𱂩	甫 页
𱂪	真 页
𱂫	佥 页
𱂬	月 页
𱂭	隹 页
𱂮	卑 页
𱂯	卒 页
𱂰	函 页
𱂱	咸 页
𱂲	思 页
𱂳	皇 页
𱂴	冓 页
𱂵	骨 页
𱂶	囟 页
𱂷	方 页
𱂸	宾 页
𱂹	户 页
𱂺	票 页
𱂻	焦 页
𱂼	比 風
𱂽	占 風
𱂾	風 卩
𱂿	包 風
𱃀	風 狄
𱃁	風 身
𱃂	風 防
𱃃	夌 風
𱃄	風 虎
𱃅	風 朋
𱃆	咅 風
𱃇	枼 風
𱃈	風 又
𱃉	宀 風
𱃊	風 田
𱃋	風 敖
𱃌	刀 風
𱃍	風 小(尒)
𱃎	風 禽
𱃏	詹 風
𱃐	風 灬(麃)
𱃑	風 燮
𱃒	風 聶
𱃓	風 虫(蟲)
𱃔	风 彡
𱃕	风 牙
𱃖	风 幼
𱃗	风 台
𱃘	风 列
𱃙	风 刘
𱃚	风 力
𱃛	风 豕
𱃜	风 委
𱃝	风 风
𱃞	风 俞
𱃟	習 风
𱃠	风 犬
𱃡	食 于
𱃢	食 亏
𱃣	食 下
𱃤	食 心
𱃥	食 刑
𱃦	食 而
𱃧	食 光
𱃨	食 足
𱃩	食 间
𱃪	食 其
𱃫	食 朋
𱃬	食 哥
𱃭	食 校
𱃮	養 丈
𱃯	食 盘
𱃰	食 短
𱃱	饣 乞
𱃲	饣 区
𱃳	饣 不
𱃴	饣 卞
𱃵	饣 央
𱃶	饣 囚
𱃷	饣 半
𱃸	饣 至
𱃹	饣 岂
𱃺	饣 舌
𱃻	饣 约
𱃼	饣 奔
𱃽	饣 亥
𱃾	饣 咅
𱃿	饣 炎
𱄀	饣 贲
𱄁	饣 俞
𱄂	饣 又
𱄃	饣 建
𱄄	饣 彖
𱄅	饣 修
𱄆	饣 喜
𱄇	饣 象
𱄈	饣 蒙
𱄉	饣 急
𱄊	饣 赞
𱄋	首 斗
𱄌	戈 首
𱄍	巛 或
𱄎	香 云
𱄏	香 良
𱄐	香 逢
𱄑	厶 馬
𱄒	馬 手
𱄓	馬 艺
𱄔	馬 口
𱄕	馬 他
𱄖	馬 卩
𱄗	馬 冗
𱄘	馬 土
𱄙	馬 一
𱄚	馬 日
𱄛	馬 耒
𱄜	馬 丑
𱄝	馬 克
𱄞	馬 土
𱄟	馬 巳
𱄠	馬 系
𱄡	馬 付
𱄢	馬 又
𱄣	馬 正
𱄤	馬 臾
𱄥	馬 乘(乗)
𱄦	馬 又
𱄧	馬 音
𱄨	馬 宣
𱄩	馬 素
𱄪	馬 心
𱄫	馬 冋
𱄬	馬 殷
𱄭	馬 田
𱄮	馬 豆
𱄯	馬 昌
𱄰	馬 心
𱄱	馬 日
𱄲	馬 惡
𱄳	馬 爽
𱄴	月(朕) 馬
𱄵	馬 肆
𱄶	馬 見
𱄷	馬 暴
𱄸	馬 心
𱄹	馬 卓(趠)
𱄺	馬 田
𱄻	馬 鳥
𱄼	马 廾
𱄽	马 乇
𱄾	马 广
𱄿	马 马
𱅀	匕 马
𱅁	马 中
𱅂	马 及
𱅃	马 巨
𱅄	马 犮
𱅅	龙 马
𱅆	马 右
𱅇	马 珍(㐱)
𱅈	马 必
𱅉	马 戎
𱅊	执 马
𱅋	马 耳
𱅌	马 一
𱅍	马 戍
𱅎	马 伏
𱅏	马 兆
𱅐	马 交
𱅑	卷(龹) 马
𱅒	马 马
𱅓	马 孛
𱅔	马 束
𱅕	马 来
𱅖	马 肙
𱅗	马 我
𱅘	马 闲
𱅙	马 兑
𱅚	马 舍
𱅛	马 单
𱅜	马 要
𱅝	扁 马
𱅞	马 叚
𱅟	马 柔
𱅠	卓 马
𱅡	马 鬼
𱅢	马 乘
𱅣	马 舀
𱅤	马 宾
𱅥	马 豕(冡)
𱅦	马 黄
𱅧	马 虚
𱅨	马 務
𱅩	马 習
𱅪	马 覃
𱅫	马 矞
𱅬	马 燕
𱅭	骨 而
𱅮	骨 尧
𱅯	骨 牛(㐄)
𱅰	骨 奄
𱅱	骨 其
𱅲	骨 肯
𱅳	骨 惡(悪)
𱅴	高 丁
𱅵	高 几
𱅶	高 入
𱅷	高 上
𱅸	正 高
𱅹	高 申
𱅺	高 又
𱅻	高 亘
𱅼	高 土
𱅽	敬 高
𱅾	高 亘
𱅿	髟 加
𱆀	髟 间
𱆁	髟 月
𱆂	髟 星
𱆃	髟 贵
𱆄	髟 费
𱆅	髟 监
𱆆	髟 满(𬜯)
𱆇	髟 水
𱆈	髟 赞
𱆉	鬥 貝
𱆊	匕 匕(鬯)
𱆋	可 鬲
𱆌	鬲 杨(𠃓)
𱆍	鬲 刍
𱆎	丿 鬲
𱆏	鬲 魚
𱆐	去 鬲
𱆑	天 鬲
𱆒	咸 鬲
𱆓	羔 鬲
𱆔	失 鬲
𱆕	蔑 鬲
𱆖	几 鬼
𱆗	鬼 升
𱆘	勿 鬼
𱆙	鬼 尧
𱆚	鬼 页
𱆛	寿 鬼
𱆜	罔 鬼
𱆝	房 鬼
𱆞	鬼 拜
𱆟	鬼 可
𱆠	鬼 寸
𱆡	宀 鬼
𱆢	霝 鬼
𱆣	八 魚
𱆤	魚 万
𱆥	魚 丹
𱆦	巴 魚
𱆧	魚 丑
𱆨	魚 几
𱆩	魚 号
𱆪	夗 魚
𱆫	对 魚
𱆬	魚 毕
